Specimen,Load from agent.md (kg),Confirmed load (kg),Max load used in fit (kg),Last auto plateau (kg),Truncated rupture,N useful segments,Compliance C (mm/kg),Stiffness k (N/mm),E_bending (GPa),Max bending stress (MPa),Free intercept (mm),Linear R²,Fit RMSE (mm),Mean segment occlusion,Deflection area (mm*frame),Stoppage (s),N step confrontabili,Max load with unload measured (kg),Mean occlusion on comparable steps,Last load with unload measured (kg),Last 0 kg measured after unload (mm),Last shift at 0 kg vs initial (mm),Last comparable damage index,Breaking step load (kg),Displacement at last visible load (mm),Deflection at last visible load (mm),Breaking step method,Breaking step frame start,Breaking step frame end,spostamento_sotto_carico_0p5kg,spostamento_sotto_carico_1p25kg,spostamento_sotto_carico_1p75kg,spostamento_sotto_carico_2kg,spostamento_sotto_carico_2p5kg,spostamento_post_scarico_0p5kg,spostamento_post_scarico_1p25kg,spostamento_post_scarico_1p75kg,spostamento_post_scarico_2kg,spostamento_post_scarico_2p5kg,deflessione_pre_step_0p5kg,deflessione_pre_step_1p25kg,deflessione_pre_step_1p75kg,deflessione_pre_step_2kg,deflessione_pre_step_2p5kg,shift_zero_vs_iniziale_0p5kg,shift_zero_vs_iniziale_1p25kg,shift_zero_vs_iniziale_1p75kg,shift_zero_vs_iniziale_2kg,shift_zero_vs_iniziale_2p5kg,recupero_elastico_pct_0p5kg,recupero_elastico_pct_1p25kg,recupero_elastico_pct_1p75kg,recupero_elastico_pct_2kg,recupero_elastico_pct_2p5kg,indice_danno_0p5kg,indice_danno_1p25kg,indice_danno_1p75kg,indice_danno_2kg,indice_danno_2p5kg,cedevolezza_locale_0p5kg,cedevolezza_locale_1p25kg,cedevolezza_locale_1p75kg,cedevolezza_locale_2kg,cedevolezza_locale_2p5kg,Delta rupture-fit load (kg)
101,2.5,2.5,2.0,1.75,False,6,2.7964129129228046,3.50686765701926,15.978165762294003,82.743609375,0.21513398809523787,0.8890903085114039,0.4703829947570826,0.10367602553643862,3533.9233999999997,10,5,2.0,0.06271582003088144,2.0,0.2768304761904761,0.2768304761904761,0.046984126984126975,2.5,7.0213,6.744469523809524,pre_break_visible_peak,4513,4700,1.4729999999999999,2.8478,4.6154,6.2848,,0.049100000000000005,-0.49099999999999977,0.39280000000000004,0.2768304761904761,,1.4729999999999999,2.7986999999999997,5.1064,5.8919999999999995,,0.049100000000000005,-0.49099999999999977,0.39280000000000004,0.2768304761904761,,96.66666666666667,119.29824561403508,82.6923076923077,101.96825396825398,,0.03333333333333334,-0.175438596491228,0.07692307692307693,0.046984126984126975,,2.9459999999999997,2.2389599999999996,2.917942857142857,2.9459999999999997,,0.5
102,2.5,2.5,2.0,2.0,False,6,2.906719999999999,3.3737855727417854,15.37181051580476,82.743609375,0.03945535714285686,0.9828501429154758,0.23717553274596678,0.11819241018341999,6015.044600000001,10,5,2.0,0.07240182165435165,2.0,0.6382999999999999,0.6873999999999999,0.11290322580645161,2.5,7.1686,6.5302999999999995,pre_break_visible_peak,3406,3449,1.4239,3.8789,4.8609,6.481199999999999,,0.049100000000000005,0.24549999999999988,0.39280000000000004,0.6382999999999999,,1.4729999999999999,3.8297999999999996,4.6154,6.088399999999999,,0.09820000000000001,0.29459999999999986,0.44190000000000007,0.6873999999999999,,93.33333333333334,94.87179487179488,96.80851063829786,95.96774193548387,,0.06666666666666668,0.0769230769230769,0.09574468085106384,0.11290322580645161,,2.9459999999999997,3.06384,2.6373714285714285,3.0441999999999996,,0.5
301,1.75,1.75,1.25,1.25,True,3,2.9936121212121214,3.2758585958789013,14.925630727473244,57.9205265625,0.028641666666666676,0.9997724775529684,0.015798862796308096,0.3074935795524031,635.6976999999999,30,2,1.25,0.09960254372019078,1.25,0.049100000000000005,0.14730000000000001,0.03947368421052632,1.75,1.5712,1.5221,terminal_median,699,749,1.39935,3.6824999999999997,,,,-0.049100000000000005,0.049100000000000005,,,,1.4975500000000002,3.7316,,,,0.049100000000000005,0.14730000000000001,,,,96.72131147540982,97.36842105263158,,,,0.03278688524590164,0.03947368421052632,,,,2.9951000000000003,2.98528,,,,0.5
302,2.0,2.0,1.75,1.75,False,4,2.5486378629500575,3.847800482979864,17.531540950577003,66.19488750000001,0.35896256613756616,0.9529504898126724,0.2646892340261334,0.0698775677366652,2485.2456,30,4,1.75,0.05753044590936361,1.75,0.24549999999999988,0.14963809523809513,0.03628117913832197,2.0,6.5302999999999995,6.2848,pre_break_visible_peak,1839,1948,1.5221,3.6824999999999997,4.419,,,0.1473,0.2946,0.24549999999999988,,,1.4262380952380953,3.5351999999999997,4.1244,,,0.05143809523809521,0.1987380952380952,0.14963809523809513,,,96.39344262295081,95.83333333333334,101.19047619047619,,,0.036065573770491785,0.056216931216931214,0.03628117913832197,,,2.8524761904761906,2.8281599999999996,2.3568,,,0.25
303,1.75,1.75,1.25,1.25,False,2,2.7834620689655165,3.523184349928891,16.052508694363507,57.9205265625,-0.03273333333333284,0.9998508047220306,0.012894291706824646,0.11409268705697952,726.9254999999998,30,2,1.25,0.07620232172470978,1.25,0.1473,0.1473,0.04225352112676056,1.75,5.548299999999999,5.401,terminal_median,1330,1409,1.3748,3.5351999999999997,,,,0.049100000000000005,0.1473,,,,1.3748,3.4860999999999995,,,,0.049100000000000005,0.1473,,,,96.42857142857143,97.1830985915493,,,,0.03571428571428572,0.04225352112676056,,,,2.7496,2.78888,,,,0.5
304,2.0,2.0,1.75,2.0,False,3,2.787009523809523,3.5186998523763315,16.03207620238966,66.19488750000001,0.0767879699248124,0.9995059206253157,0.031194081216600264,0.07387266531334327,1651.9695,30,3,1.75,0.06639812165235894,1.75,0.24549999999999988,0.266542857142857,0.05483405483405482,2.0,6.186599999999999,5.9411,terminal_median,2008,2143,1.4239,3.4861,4.959099999999999,,,0.0,0.09820000000000001,0.24549999999999988,,,1.444942857142857,3.4861,4.860899999999999,,,0.02104285714285714,0.11924285714285715,0.266542857142857,,,98.54368932038835,97.1830985915493,96.96969696969698,,,0.014563106796116504,0.03420523138832998,0.05483405483405482,,,2.889885714285714,2.78888,2.777657142857142,,,0.25
601,2.0,2.0,1.75,1.75,False,4,2.6154731707317067,3.7494745156405043,17.083543261887048,66.19488750000001,0.21958611111111148,0.9840994413141574,0.16423949552480946,0.18371637959811682,1130.8711999999998,60,4,1.75,0.1715059396139251,1.75,0.09820000000000001,0.19640000000000002,0.044943820224719114,2.0,5.7447,5.6465,pre_break_visible_peak,2234,2277,1.3256999999999999,3.437,4.3698999999999995,,,-0.049100000000000005,0.0,0.09820000000000001,,,1.4239,3.4861,4.3698999999999995,,,0.049100000000000005,0.09820000000000001,0.19640000000000002,,,96.55172413793103,98.59154929577464,97.75280898876404,,,0.03448275862068966,0.028169014084507046,0.044943820224719114,,,2.8478,2.78888,2.497085714285714,,,0.25
602,2.0,2.0,1.75,1.75,False,4,2.534609291521486,3.8690973132640973,17.628574633559545,66.19488750000001,0.2870661375661374,0.9719140571202737,0.2070435408596999,0.17498936322233286,2001.3651,60,4,1.75,0.12108045402791606,1.75,0.3437,0.2758952380952381,0.06610644257703081,2.0,5.8919999999999995,5.548299999999999,terminal_median,1600,1664,1.4729999999999999,3.5843,4.419,,,0.1473,0.24549999999999988,0.3437,,,1.405195238095238,3.437,4.1735,,,0.07949523809523808,0.17769523809523796,0.2758952380952381,,,94.34276206322795,97.14285714285714,97.6470588235294,,,0.05657237936772046,0.05170068027210881,0.06610644257703081,,,2.810390476190476,2.7496,2.384857142857143,,,0.25
901,1.75,1.75,1.25,1.25,True,3,2.7738595093795095,3.5353809256885076,16.108079342668262,57.9205265625,0.08339206349206352,0.9985940426543628,0.03556669376071984,0.2692577748704731,922.3435,90,2,1.25,0.031603107344632765,1.25,0.1473,0.1491704761904762,0.043401360544217685,1.75,1.5712,1.4239,terminal_median,857,898,1.4239,3.4861,,,,0.049100000000000005,0.1473,,,,1.4257704761904761,3.437,,,,0.0509704761904762,0.1491704761904762,,,,96.4250573958675,97.14285714285714,,,,0.035749426041325034,0.043401360544217685,,,,2.8515409523809523,2.7496,,,,0.5
902,1.75,1.75,1.25,1.25,False,3,2.9925918614718614,3.2769754293112143,14.93071929979922,57.9205265625,0.039280000000000204,0.9989482171765521,0.03383564167873057,0.30707575981934626,1287.8438999999998,90,2,1.25,0.037680931403398364,1.25,0.021042857142857134,0.07528666666666664,0.020203287739992467,1.75,1.4729999999999999,1.4519571428571427,terminal_median,1325,1338,1.4239,3.6824999999999997,,,,-0.04395619047619047,0.021042857142857134,,,,1.4781438095238095,3.72645619047619,,,,0.010287619047619045,0.07528666666666664,,,,99.30401771591268,98.2557409963609,,,,0.00695982284087314,0.020203287739992467,,,,2.956287619047619,2.981164952380952,,,,0.5
