Specimen,Stoppage (s),Segment,Load (kg),Etichetta carico,Breaking step,Comparable step,Used in fit,Frame start,Frame end,Final Level Start,Final Level End,Initial 0 kg displacement (mm),Initial 0 kg frame,0 kg pre-step displacement (mm),0 kg pre-step frame,Displacement under load (mm),0 kg post-step displacement (mm),0 kg post-step frame,Deflection from pre-step 0 kg (mm),Deflection from initial 0 kg (mm),0 kg shift vs initial (mm),Incremental plastic residue (mm),Elastic recovery (mm),Elastic recovery (%),Residual damage index,Local compliance (mm/kg),Quality,Occluded fraction,Final level method,Local override,Confirmed breaking load (kg),Breaking frame,Truncated rupture,Initial 0 kg frames used,0 kg pre-step frames used,0 kg post-step frames used
101,10,1,0.5,0.5 kg,False,True,True,2012,2116,2085,2111,0.0,1006,0.0,1006,1.4729999999999999,0.049100000000000005,2598.0,1.4729999999999999,1.4729999999999999,0.049100000000000005,0.049100000000000005,1.4239,96.66666666666667,0.03333333333333334,2.9459999999999997,Alta,0.028846153846153848,terminal_median,False,2.5,4700,False,1,1,15
101,10,3,0.5,0.5 kg,False,True,True,3465,3666,3578,3626,0.0,1006,-0.49099999999999977,3334,1.6694,0.39280000000000004,3892.0,2.1603999999999997,1.6694,0.39280000000000004,0.8837999999999998,1.2766,59.09090909090909,0.18181818181818188,4.320799999999999,Alta,0.1890547263681592,terminal_median,False,2.5,4700,False,1,15,15
101,10,6,0.5,0.5 kg,False,False,True,4334,4513,4430,4471,0.0,1006,0.2768304761904761,4245,1.7185,,,1.4416695238095238,1.7185,,,,,,2.8833390476190477,Alta,0.1340782122905028,terminal_median,False,2.5,4700,False,1,15,0
101,10,2,1.25,1.25 kg,False,True,True,3081,3204,3166,3198,0.0,1006,0.049100000000000005,2598,2.8478,-0.49099999999999977,3334.0,2.7986999999999997,2.8478,-0.49099999999999977,-0.5400999999999998,3.3387999999999995,119.29824561403508,-0.175438596491228,2.2389599999999996,Alta,0.032520325203252036,terminal_median,False,2.5,4700,False,1,15,15
101,10,4,1.75,1.25 kg + 0.5 kg,False,True,True,3666,3761,3727,3754,0.0,1006,-0.49099999999999977,3334,4.6154,0.39280000000000004,3892.0,5.1064,4.6154,0.39280000000000004,0.8837999999999998,4.2226,82.6923076923077,0.07692307692307693,2.917942857142857,Alta,0.06315789473684211,terminal_median,False,2.5,4700,False,1,15,15
101,10,5,2.0,2 kg,False,True,True,4023,4157,4153,4157,0.0,1006,0.39280000000000004,3892,6.2848,0.2768304761904761,4245.0,5.8919999999999995,6.2848,0.2768304761904761,-0.11596952380952391,6.007969523809524,101.96825396825398,0.046984126984126975,2.9459999999999997,Bassa,0.0,manual_window,True,2.5,4700,False,1,15,15
101,10,7,2.5,2 kg + 0.5 kg,True,False,False,4513,4700,4645,4650,0.0,1006,0.2768304761904761,4245,7.0213,,,6.744469523809524,7.0213,,,,,,2.6977878095238097,Bassa,0.27807486631016043,pre_break_visible_peak,True,2.5,4700,False,1,15,0
102,10,1,0.5,0.5 kg,False,True,True,114,366,282,354,-0.049100000000000005,57,-0.049100000000000005,57,1.4239,0.049100000000000005,542.0,1.4729999999999999,1.4729999999999999,0.09820000000000001,0.09820000000000001,1.3748,93.33333333333334,0.06666666666666668,2.9459999999999997,Alta,0.047619047619047616,terminal_median,False,2.5,3449,False,15,15,15
102,10,3,0.5,0.5 kg,False,True,True,1734,1928,1857,1910,-0.049100000000000005,57,0.24549999999999988,1419,1.7185,0.39280000000000004,2293.0,1.473,1.7675999999999998,0.44190000000000007,0.14730000000000015,1.3256999999999999,89.99999999999999,0.30000000000000004,2.946,Alta,0.07216494845360824,terminal_median,False,2.5,3449,False,15,15,15
102,10,6,0.5,0.5 kg,False,False,True,3091,3406,3263,3345,-0.049100000000000005,57,0.6382999999999999,2921,2.1113,,,1.473,2.1604,,,,,,2.946,Alta,0.20952380952380953,terminal_median,False,2.5,3449,False,15,15,0
