pixel_id,best_r2,best_feat,min_delta_r2,best_med_feat,pixel_row,pixel_col,x_offset_from_nozzle,y_offset_from_nozzle
0,0.6889848835613879,delta_T_px,0.001648487987609748,delta_T_px,0,0,2,1
9,0.5913699922520528,T1_px,0.0003773087749247006,T0,1,4,6,2
8,0.5669399972485158,T1_px,0.00021242298031343143,A,1,3,5,2
1,0.538891026101733,delta_T_px,0.0025151530857060456,A,0,1,3,1
5,0.5349153359574998,delta_T_px,0.0005792873892417338,T0,1,0,2,2
6,0.5209754288344002,delta_T_px,0.0016769441480104508,delta_T_px,1,1,3,2
7,0.5201010579858675,heating_rate_t0,2.32952119622043e-05,delta_T_px,1,2,4,2
4,0.5187130848700563,T_std_px,2.6437592555828004e-05,delta_T_px,0,4,6,1
3,0.5064941773453884,A,0.001507067247813687,delta_T_px,0,3,5,1
2,0.4967444191553586,delta_T_px,1.3754078099004197e-05,delta_T_px,0,2,4,1
