specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-027_std_2,1,1,1125,core,290,331,0.0,0.0,0.984,292,333,296,334,1.0,True,102.7503,120.498,95.5318,7.7217,99.331,"120.50,111.81,106.93,103.13,100.42,98.25,98.25,97.16,95.53,95.53"
Rec-027_std_2,1,2,1126,core,293,331,0.0,3.0,0.9832,295,333,299,334,1.0,True,105.2469,123.2118,96.6172,7.7423,102.8588,"123.21,113.99,108.56,105.30,102.04,103.67,102.04,99.33,97.70,96.62"
Rec-027_std_2,1,3,1127,core,297,331,0.0,4.0,0.9817,299,333,303,334,1.0,True,106.9837,129.7247,96.6172,9.5574,104.2157,"129.72,117.78,110.19,105.30,102.04,106.39,103.13,100.42,98.25,96.62"
Rec-027_std_2,1,4,1128,core,302,331,0.0,5.0,0.9845,304,333,308,334,1.0,True,103.6187,121.5835,95.5318,7.5418,101.502,"121.58,111.81,106.39,102.04,99.33,103.67,100.96,98.25,96.62,95.53"
Rec-027_std_2,1,5,1129,core,306,331,0.0,4.0,0.9825,308,333,312,334,1.0,True,104.9212,125.9255,95.5318,8.7449,102.5874,"125.93,113.99,108.01,103.13,99.87,105.30,102.04,98.79,96.62,95.53"
Rec-027_std_2,1,6,1130,core,311,331,0.0,5.0,0.9854,313,333,317,334,1.0,True,101.8276,117.2416,94.4463,6.6081,100.1451,"117.24,109.64,103.67,100.42,98.25,102.04,99.87,97.16,95.53,94.45"
Rec-027_std_2,1,7,1131,core,315,331,0.0,4.0,0.9827,317,333,321,334,1.0,True,103.3473,121.5835,94.989,7.6648,101.502,"121.58,111.81,105.84,102.04,98.79,103.13,100.96,98.25,96.07,94.99"
Rec-027_std_2,1,8,1132,core,320,331,0.0,5.0,0.9855,322,333,326,334,1.0,True,102.099,116.6988,95.5318,6.1856,100.4165,"116.70,109.10,104.22,100.96,98.79,102.04,99.87,97.70,96.07,95.53"
Rec-027_std_2,1,9,1133,core,324,331,0.0,4.0,0.9823,326,333,330,334,1.0,True,104.1614,121.0408,96.6172,7.0576,102.3161,"121.04,111.81,106.39,103.13,100.42,104.22,101.50,98.79,97.70,96.62"
Rec-027_std_2,1,10,1134,core,329,331,0.0,5.0,0.9854,331,333,335,334,1.0,True,102.5874,115.6133,96.0745,5.7182,100.9592,"115.61,109.10,105.30,101.50,99.33,103.13,100.42,98.25,97.16,96.07"
