specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-022_10s_1,1,1,2794,core,290,331,0.0,0.0,0.9846,293,333,300,336,1.0,True,88.5779,108.5576,81.9631,6.1785,86.8478,"108.56,102.04,98.25,94.99,94.45,93.36,92.28,91.73,93.36,91.73,90.10,89.56,88.48,88.48,87.93,87.39,86.31,85.76,85.76,85.22,85.22,84.68,84.13,84.13,82.51,82.51,82.51,83.05,83.05,82.51,82.51,81.96"
Rec-022_10s_1,1,2,2795,core,296,331,0.0,6.0,0.9835,299,333,306,336,1.0,True,87.9333,108.0149,80.8776,5.9191,86.0337,"108.01,101.50,96.62,93.36,91.19,90.10,89.56,88.48,95.53,92.28,90.10,88.48,87.39,86.31,85.76,85.22,89.02,87.39,85.76,85.22,84.13,84.13,83.59,83.05,84.13,84.13,83.59,83.05,82.51,81.96,81.42,80.88"
Rec-022_10s_1,1,3,2796,core,300,331,0.0,4.0,0.9839,303,333,310,336,1.0,True,87.7637,111.2714,80.8776,6.4225,85.7624,"111.27,102.04,96.62,93.36,91.19,89.56,89.02,87.93,95.53,92.28,89.56,87.93,86.85,85.76,85.22,84.68,89.02,87.39,85.76,84.68,84.13,83.59,83.05,82.51,84.13,83.59,83.05,82.51,82.51,81.96,80.88,80.88"
Rec-022_10s_1,1,4,2797,core,309,331,0.0,9.0,0.9852,312,333,319,336,1.0,True,86.2542,105.8439,80.3349,5.567,84.4055,"105.84,98.79,94.45,91.19,89.56,87.93,87.93,87.39,93.36,90.10,87.93,86.31,85.22,84.68,84.13,84.13,86.85,85.22,84.13,83.05,83.05,82.51,81.96,82.51,83.05,82.51,81.96,81.42,80.88,80.88,80.88,80.33"
Rec-022_10s_1,1,5,2798,core,314,331,0.0,5.0,0.987,317,333,324,336,1.0,True,85.898,101.502,81.4204,4.4694,84.6769,"101.50,95.53,92.28,90.10,89.02,87.93,87.93,87.39,91.19,89.02,87.39,85.76,85.22,84.68,84.68,84.13,85.76,84.68,84.13,83.59,83.05,83.05,83.05,83.05,83.05,82.51,81.96,81.42,81.42,81.42,81.42,81.42"
Rec-022_10s_1,1,6,2799,core,323,331,0.0,9.0,0.9886,326,333,333,336,1.0,True,88.1708,102.0447,84.1341,4.0907,87.9333,"102.04,97.16,93.36,91.19,91.19,91.19,91.19,90.65,92.28,90.65,89.02,87.93,87.93,87.93,87.93,87.93,87.93,86.31,85.76,85.76,85.76,85.76,85.76,85.76,84.13,84.13,84.13,84.13,84.13,84.13,84.13,84.13"
Rec-022_10s_1,1,7,2800,core,327,331,0.0,4.0,0.9866,330,333,337,336,1.0,True,89.8499,103.6729,85.2196,4.2346,89.0188,"103.67,99.33,96.07,94.45,93.36,92.28,92.28,92.28,93.36,92.28,91.19,90.10,89.56,89.56,89.56,89.56,88.48,87.93,87.93,87.39,87.39,87.39,87.39,87.39,85.76,85.76,85.76,85.76,85.22,85.22,85.76,85.76"
Rec-022_10s_1,1,8,2801,core,332,331,0.0,5.0,0.9906,335,333,342,336,1.0,True,90.8167,103.1302,86.3051,4.1255,90.1043,"103.13,99.33,96.62,95.53,94.99,94.45,94.45,94.45,94.45,92.28,91.19,91.19,91.19,90.65,90.65,90.65,89.56,89.02,89.02,88.48,88.48,88.48,87.93,88.48,86.85,86.31,86.85,86.31,86.31,86.31,86.31,86.31"
Rec-022_10s_1,1,9,2802,core,336,331,0.0,4.0,0.9875,339,333,346,336,1.0,True,92.1566,107.4722,86.8478,4.8235,91.1898,"107.47,103.13,99.33,97.16,96.07,95.53,95.53,94.99,96.62,94.99,93.36,92.28,91.73,91.73,91.19,91.19,91.19,90.10,89.56,89.56,89.56,89.56,89.02,89.02,87.93,87.93,87.93,87.39,87.39,86.85,86.85,86.85"
Rec-022_10s_1,1,10,2803,core,345,331,0.0,9.0,0.9863,348,333,355,336,1.0,True,91.9361,108.5576,83.5914,5.3998,91.1898,"108.56,103.67,100.42,97.70,96.07,94.99,93.36,91.19,98.25,96.07,94.45,93.36,92.28,91.19,90.10,89.56,92.28,91.19,91.19,90.10,89.56,89.02,87.93,86.31,88.48,87.93,87.93,87.39,86.85,85.76,85.22,83.59"
Rec-022_10s_1,1,11,2804,core,350,331,0.0,5.0,0.9894,353,333,360,336,0.625,False,83.8797,103.6729,73.822,8.1298,83.0486,"103.67,99.33,95.53,90.65,83.05,78.16,75.99,74.91,96.07,93.36,91.19,87.93,80.88,77.62,75.45,74.91,91.19,89.56,87.93,85.22,79.79,77.08,75.45,74.36,87.39,86.31,84.68,83.05,78.71,75.99,74.91,73.82"
Rec-022_10s_1,1,12,2805,core,354,331,0.0,4.0,0.9869,357,333,364,336,0.125,False,77.0784,91.7325,73.822,4.0615,75.4502,"91.73,84.68,80.33,77.62,75.99,74.91,74.91,74.36,85.76,80.88,77.62,75.99,75.45,74.36,74.36,73.82,81.96,78.16,76.54,75.45,74.91,74.36,74.36,73.82,79.79,77.08,75.99,74.91,74.36,74.36,73.82,73.82"
Rec-022_10s_1,1,13,2806,core,355,330,45.0,1.41,0.986,358,332,365,335,0.0,False,77.7399,96.0745,73.822,5.0655,75.9929,"96.07,87.93,82.51,78.71,76.54,75.99,74.91,74.36,88.48,83.05,78.71,77.08,75.99,74.91,74.36,73.82,83.05,78.71,77.08,75.45,74.91,74.36,74.36,73.82,78.71,77.08,75.99,74.91,74.36,73.82,73.82,73.82"
Rec-022_10s_1,2,1,2942,core,291,332,-45.0,1.41,0.9831,294,334,301,337,1.0,True,88.7305,98.2455,84.1341,3.8377,88.2047,"98.25,96.62,94.45,93.36,93.36,92.28,91.73,91.19,91.19,90.65,90.65,90.10,89.56,89.56,89.56,89.02,86.85,86.85,87.39,86.85,86.85,86.85,86.85,86.31,84.13,84.13,84.13,84.13,84.13,84.13,84.13,84.13"
