specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-022_10s_1,1,1,2794,core,290,331,0.0,0.0,0.9846,292,334,298,336,1.0,True,86.3568,94.4463,81.4204,3.7073,85.7624,"94.45,93.36,91.73,90.10,89.56,88.48,88.48,86.85,86.31,85.76,85.76,85.22,85.22,84.68,81.42,82.51,82.51,82.51,83.05,83.05,82.51"
Rec-022_10s_1,1,2,2795,core,296,331,0.0,6.0,0.9835,298,334,304,336,1.0,True,87.1321,98.7882,81.9631,4.269,85.7624,"98.79,95.53,92.28,90.10,88.48,87.39,86.31,90.65,89.02,87.39,85.76,85.22,84.13,84.13,85.22,84.13,84.13,83.59,83.05,82.51,81.96"
Rec-022_10s_1,1,3,2796,core,300,331,0.0,4.0,0.9839,302,334,308,336,1.0,True,87.0287,100.4165,81.9631,4.5819,85.7624,"100.42,95.53,92.28,89.56,87.93,86.85,85.76,91.19,89.02,87.39,85.76,84.68,84.13,83.59,85.76,84.13,83.59,83.05,82.51,82.51,81.96"
Rec-022_10s_1,1,4,2797,core,309,331,0.0,9.0,0.9852,311,334,317,336,1.0,True,85.3747,96.6172,80.8776,4.0204,84.1341,"96.62,93.36,90.10,87.93,86.31,85.22,84.68,89.02,86.85,85.22,84.13,83.05,83.05,82.51,84.13,83.05,82.51,81.96,81.42,80.88,80.88"
Rec-022_10s_1,1,5,2798,core,314,331,0.0,5.0,0.987,316,334,322,336,1.0,True,84.9612,94.4463,81.4204,3.2976,84.1341,"94.45,91.19,89.02,87.39,85.76,85.22,84.68,87.39,85.76,84.68,84.13,83.59,83.05,83.05,83.05,83.05,82.51,81.96,81.42,81.42,81.42"
Rec-022_10s_1,1,6,2799,core,323,331,0.0,9.0,0.9886,325,334,331,336,1.0,True,87.0029,95.5318,84.1341,2.9828,85.7624,"95.53,92.28,90.65,89.02,87.93,87.93,87.93,89.02,87.93,86.31,85.76,85.76,85.76,85.76,84.68,84.13,84.13,84.13,84.13,84.13,84.13"
Rec-022_10s_1,1,7,2800,core,327,331,0.0,4.0,0.9866,329,334,335,336,1.0,True,88.3985,95.5318,85.2196,2.7841,87.9333,"95.53,93.36,92.28,91.19,90.10,89.56,89.56,89.02,88.48,87.93,87.93,87.39,87.39,87.39,85.76,85.76,85.76,85.76,85.76,85.22,85.22"
Rec-022_10s_1,1,8,2801,core,332,331,0.0,5.0,0.9906,334,334,340,336,1.0,True,89.3806,96.6172,86.3051,2.7539,89.0188,"96.62,94.45,92.28,91.19,91.19,91.19,90.65,90.65,89.56,89.02,89.02,88.48,88.48,88.48,86.85,86.85,86.31,86.85,86.31,86.31,86.31"
Rec-022_10s_1,1,9,2802,core,336,331,0.0,4.0,0.9875,338,334,344,336,1.0,True,90.6988,98.7882,86.8478,3.1331,89.5616,"98.79,96.62,94.99,93.36,92.28,91.73,91.73,92.28,91.19,90.10,89.56,89.56,89.56,89.56,87.93,87.93,87.93,87.93,87.39,87.39,86.85"
Rec-022_10s_1,1,10,2803,core,345,331,0.0,9.0,0.9863,347,334,353,336,1.0,True,91.2932,100.9592,85.7624,3.7401,91.1898,"100.96,98.25,96.07,94.45,93.36,92.28,91.19,93.36,92.28,91.19,91.19,90.10,89.56,89.02,89.56,88.48,87.93,87.93,87.39,86.85,85.76"
Rec-022_10s_1,1,11,2804,core,350,331,0.0,5.0,0.9894,352,334,358,336,0.8571,False,86.3309,98.7882,75.9929,6.23,87.3906,"98.79,96.07,93.36,91.19,87.93,80.88,77.62,92.28,91.19,89.56,87.93,85.22,79.79,77.08,87.93,87.39,86.31,84.68,83.05,78.71,75.99"
Rec-022_10s_1,1,12,2805,core,354,331,0.0,4.0,0.9869,356,334,362,336,0.2857,False,78.8359,94.989,74.3647,5.3674,76.5357,"94.99,85.76,80.88,77.62,75.99,75.45,74.36,88.48,81.96,78.16,76.54,75.45,74.91,74.36,84.13,79.79,77.08,75.99,74.91,74.36,74.36"
Rec-022_10s_1,1,13,2806,core,355,330,45.0,1.41,0.986,357,333,363,335,0.1429,False,79.3011,97.16,73.822,5.8501,77.0784,"97.16,88.48,83.05,78.71,77.08,75.99,74.91,88.48,83.05,78.71,77.08,75.45,74.91,74.36,83.05,78.71,77.08,75.99,74.91,74.36,73.82"
Rec-022_10s_1,2,1,2942,core,291,332,-45.0,1.41,0.9831,293,335,299,337,1.0,True,87.1063,91.7325,83.0486,2.7143,86.8478,"91.73,91.19,90.65,90.65,90.10,89.56,89.56,86.31,86.85,86.85,87.39,86.85,86.85,86.85,83.05,84.13,84.13,84.13,84.13,84.13,84.13"
Rec-022_10s_1,2,2,2943,core,300,331,6.34,9.06,0.9848,302,334,308,336,1.0,True,91.2932,103.1302,86.3051,4.2228,90.1043,"103.13,99.33,96.07,94.45,92.28,91.73,91.19,94.45,93.36,91.19,90.10,89.56,89.02,88.48,89.02,88.48,87.93,87.39,86.85,86.85,86.31"
Rec-022_10s_1,2,3,2944,core,304,331,0.0,4.0,0.9823,306,334,312,336,1.0,True,91.7325,105.3012,86.3051,4.7434,90.6471,"105.30,100.96,97.70,94.45,92.28,91.73,91.19,95.53,93.36,91.73,90.65,89.56,89.02,88.48,89.56,89.02,87.93,87.93,87.39,86.31,86.31"
Rec-022_10s_1,2,4,2945,core,309,331,0.0,5.0,0.987,311,334,317,336,1.0,True,90.6471,102.0447,85.7624,4.0822,89.5616,"102.04,98.25,95.53,93.36,91.73,90.65,90.10,94.45,92.28,90.65,89.56,89.02,88.48,87.93,89.02,87.93,87.39,86.85,86.31,86.31,85.76"
Rec-022_10s_1,2,5,2946,core,323,331,0.0,14.0,0.9868,325,334,331,336,1.0,True,90.6729,99.331,87.3906,3.2714,89.5616,"99.33,96.62,94.99,94.45,92.28,91.19,91.19,92.28,91.19,90.10,89.56,89.56,89.56,89.02,87.93,87.93,87.39,87.39,87.39,87.39,87.39"
Rec-022_10s_1,2,6,2947,core,327,331,0.0,4.0,0.9894,329,334,335,336,1.0,True,92.0168,102.0447,88.4761,3.4757,91.1898,"102.04,98.25,95.53,94.45,93.36,93.36,93.36,94.45,92.28,91.19,91.19,90.65,90.65,90.65,89.56,89.02,88.48,88.48,88.48,88.48,88.48"
Rec-022_10s_1,2,7,2948,core,332,331,0.0,5.0,0.9881,334,334,340,336,1.0,True,92.4562,99.8737,89.5616,2.8882,91.7325,"99.87,97.70,95.53,94.99,94.45,94.45,94.45,93.36,92.28,92.28,91.73,91.19,91.19,91.19,89.56,89.56,89.56,89.56,89.56,89.56,89.56"
Rec-022_10s_1,2,8,2949,core,336,331,0.0,4.0,0.9902,338,334,344,336,1.0,True,93.5417,102.0447,89.5616,3.3345,92.2753,"102.04,99.87,97.70,96.07,95.53,94.99,94.45,95.53,94.45,93.36,92.28,92.28,92.28,91.73,91.19,90.65,90.65,90.10,90.10,89.56,89.56"
Rec-022_10s_1,2,9,2950,core,341,331,0.0,5.0,0.9894,343,334,349,336,1.0,True,93.6192,101.502,89.5616,3.0501,93.3608,"101.50,98.79,97.16,96.07,95.53,95.53,94.99,94.99,94.45,93.36,93.36,92.28,92.28,92.28,91.19,91.19,90.65,90.65,90.10,90.10,89.56"
Rec-022_10s_1,2,10,2951,core,345,331,0.0,4.0,0.9897,347,334,353,336,1.0,True,93.8001,103.1302,88.4761,3.6643,93.3608,"103.13,100.96,98.25,96.62,95.53,94.45,93.36,96.07,95.53,94.45,93.36,92.28,91.73,91.19,92.28,91.19,91.19,90.65,89.56,89.56,88.48"
Rec-022_10s_1,2,11,2952,core,350,331,0.0,5.0,0.9887,352,334,358,336,0.8571,False,87.649,100.4165,76.5357,6.6041,89.0188,"100.42,97.16,94.45,92.28,89.02,81.42,77.62,94.45,92.28,91.19,89.56,86.85,80.88,77.08,90.65,89.56,88.48,86.85,84.13,79.79,76.54"
Rec-022_10s_1,2,12,2953,core,354,331,0.0,4.0,0.9889,356,334,362,336,0.2857,False,79.1202,95.5318,73.822,5.7339,76.5357,"95.53,86.31,80.88,77.62,75.99,75.45,74.36,89.56,83.05,78.71,76.54,75.45,74.91,73.82,85.76,80.88,77.62,75.99,74.91,74.36,73.82"
Rec-022_10s_1,2,13,2954,core,355,331,0.0,1.0,0.9865,357,334,363,336,0.1429,False,77.492,89.5616,73.822,3.9385,75.9929,"89.56,83.05,78.71,77.08,75.99,74.91,74.36,84.13,79.79,77.62,75.99,74.91,74.36,73.82,80.88,77.62,75.99,75.45,74.36,74.36,74.36"
