specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-027_std_2,1,1,1125,core,290,331,0.0,0.0,0.984,294,333,298,336,1.0,True,94.9347,106.9294,89.0188,4.7188,93.6322,"106.93,103.13,100.42,99.87,98.79,97.16,95.53,95.53,94.99,94.99,92.28,92.28,92.28,92.28,92.28,89.02,89.56,90.10,90.65,90.65"
Rec-027_std_2,1,2,1126,core,293,331,0.0,3.0,0.9832,297,333,301,336,1.0,True,96.3187,108.5576,91.1898,4.7764,95.2604,"108.56,105.30,102.04,100.42,98.79,99.33,97.70,96.62,95.53,95.53,94.99,94.45,94.45,93.36,93.36,91.19,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,3,1127,core,297,331,0.0,4.0,0.9817,301,333,305,336,1.0,True,96.4002,110.1859,91.1898,4.9607,94.989,"110.19,105.30,102.04,99.33,98.25,100.42,98.25,96.62,95.53,94.45,95.53,94.45,94.45,93.36,92.28,92.28,91.73,91.19,91.19,91.19"
Rec-027_std_2,1,4,1128,core,302,331,0.0,5.0,0.9845,306,333,310,336,1.0,True,95.2875,106.3867,91.1898,3.9456,94.4463,"106.39,102.04,99.33,98.25,97.16,98.25,96.62,95.53,94.45,93.36,94.99,94.45,93.36,92.28,92.28,92.28,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,5,1129,core,306,331,0.0,4.0,0.9825,310,333,314,336,1.0,True,95.4232,108.0149,90.6471,4.2997,94.4463,"108.01,103.13,99.87,97.70,96.62,98.79,96.62,95.53,94.45,93.36,94.99,94.45,93.36,92.28,92.28,92.28,91.73,91.19,91.19,90.65"
Rec-027_std_2,1,6,1130,core,311,331,0.0,5.0,0.9854,315,333,319,336,1.0,True,94.3649,103.6729,90.6471,3.3601,93.3608,"103.67,100.42,98.25,96.62,95.53,97.16,95.53,94.45,93.36,93.36,93.36,93.36,92.28,92.28,92.28,91.73,91.19,91.19,90.65,90.65"
Rec-027_std_2,1,7,1131,core,315,331,0.0,4.0,0.9827,319,333,323,336,1.0,True,95.0433,105.8439,91.1898,3.8104,94.4463,"105.84,102.04,98.79,97.16,96.62,98.25,96.07,94.99,94.45,94.45,94.45,93.36,93.36,92.28,92.28,91.73,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,8,1132,core,320,331,0.0,5.0,0.9855,324,333,328,336,1.0,True,95.2333,104.2157,91.1898,3.3257,94.4463,"104.22,100.96,98.79,97.70,97.16,97.70,96.07,95.53,94.99,94.45,94.45,94.45,93.36,93.36,93.36,92.28,91.73,91.73,91.19,91.19"
Rec-027_std_2,1,9,1133,core,324,331,0.0,4.0,0.9823,328,333,332,336,1.0,True,96.1288,106.3867,91.7325,3.8297,95.2604,"106.39,103.13,100.42,98.79,97.70,98.79,97.70,96.62,95.53,94.99,95.53,94.45,94.45,94.45,93.36,92.28,92.28,92.28,91.73,91.73"
Rec-027_std_2,1,10,1134,core,329,331,0.0,5.0,0.9854,333,333,337,336,1.0,True,95.9388,105.3012,92.2753,3.3758,95.2604,"105.30,101.50,99.33,98.25,98.25,98.25,97.16,96.07,95.53,95.53,94.99,94.99,94.45,94.45,93.36,92.28,92.28,92.28,92.28,92.28"
Rec-027_std_2,1,11,1135,core,334,331,0.0,5.0,0.9821,338,333,342,336,1.0,True,95.776,103.1302,91.7325,3.0916,95.2604,"103.13,100.96,99.33,98.25,98.25,98.25,97.16,96.07,96.07,95.53,94.99,94.45,94.45,94.45,93.36,92.28,92.28,92.28,92.28,91.73"
Rec-027_std_2,1,12,1136,core,338,331,0.0,4.0,0.985,342,333,346,336,1.0,True,96.2645,105.3012,91.7325,3.5102,95.5318,"105.30,102.04,100.42,98.79,98.25,98.79,98.25,96.62,96.07,95.53,95.53,95.53,94.45,94.45,93.36,93.36,92.28,92.28,92.28,91.73"
Rec-027_std_2,1,13,1137,core,343,331,0.0,5.0,0.9822,347,333,351,336,1.0,True,94.7448,103.1302,89.5616,3.4389,94.4463,"103.13,100.42,98.79,97.70,96.07,97.70,96.62,95.53,94.45,93.36,94.45,94.45,93.36,92.28,91.19,92.28,91.73,91.19,90.65,89.56"
Rec-027_std_2,1,14,1138,core,347,331,0.0,4.0,0.984,351,333,355,336,1.0,True,91.7868,102.0447,85.7624,3.8642,91.1898,"102.04,98.25,95.53,93.36,91.19,96.07,94.45,92.28,91.19,89.56,92.28,91.19,90.65,89.02,87.93,90.10,89.56,88.48,86.85,85.76"
Rec-027_std_2,1,15,1139,core,355,331,0.0,8.0,0.9817,359,333,363,336,0.0,False,77.2412,83.5914,75.4502,1.912,76.8071,"83.59,79.79,77.62,77.08,76.54,79.79,78.16,77.08,75.99,75.99,78.16,77.08,75.99,75.99,75.45,77.08,75.99,75.99,75.99,75.45"
Rec-027_std_2,2,1,1285,core,290,331,0.0,0.0,0.984,294,333,298,336,1.0,True,95.0162,107.4722,89.5616,4.7299,93.6322,"107.47,103.13,100.42,99.87,98.79,97.16,95.53,95.53,94.99,94.99,92.28,92.28,92.28,92.28,92.28,89.56,89.56,90.65,90.65,90.65"
Rec-027_std_2,2,2,1286,core,294,331,0.0,4.0,0.981,298,333,302,336,1.0,True,95.3689,105.8439,90.6471,3.9739,94.4463,"105.84,102.04,99.87,98.79,98.25,98.25,96.62,95.53,94.99,94.45,94.45,93.36,93.36,93.36,92.28,91.73,91.19,91.19,91.19,90.65"
Rec-027_std_2,2,3,1287,core,298,331,0.0,4.0,0.9844,302,333,306,336,1.0,True,95.6946,108.0149,91.1898,4.3389,94.7176,"108.01,103.13,100.42,98.25,97.70,99.33,97.16,95.53,94.99,94.45,94.99,94.45,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19"
Rec-027_std_2,2,4,1288,core,302,331,0.0,4.0,0.9814,306,333,310,336,1.0,True,95.9388,109.6431,91.1898,4.7156,94.7176,"109.64,104.22,100.96,98.25,97.16,99.87,97.70,96.07,94.99,94.45,95.53,94.45,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19"
Rec-027_std_2,2,5,1289,core,307,331,0.0,5.0,0.9855,311,333,315,336,1.0,True,94.9619,105.3012,90.6471,3.6629,93.9035,"105.30,101.50,98.25,97.70,96.07,98.25,96.07,94.99,94.45,93.36,94.99,93.36,93.36,92.28,92.28,92.28,91.73,91.19,91.19,90.65"
Rec-027_std_2,2,6,1290,core,312,331,0.0,5.0,0.9829,316,333,320,336,1.0,True,94.4463,103.1302,91.1898,3.0365,93.9035,"103.13,99.33,97.70,96.62,95.53,96.62,95.53,94.45,94.45,93.36,94.45,93.36,93.36,92.28,92.28,91.73,91.19,91.19,91.19,91.19"
Rec-027_std_2,2,7,1291,core,321,331,0.0,9.0,0.9842,325,333,329,336,1.0,True,95.586,103.1302,91.7325,3.0841,94.989,"103.13,100.96,98.79,98.25,98.25,98.25,96.62,95.53,95.53,94.99,94.99,94.45,94.45,93.36,93.36,92.28,92.28,92.28,92.28,91.73"
Rec-027_std_2,2,8,1292,core,330,331,0.0,9.0,0.9848,334,333,338,336,1.0,True,96.4273,104.2157,92.2753,3.2622,95.8031,"104.22,102.04,100.42,99.33,98.79,98.79,97.70,96.62,96.62,96.07,95.53,94.99,94.99,94.45,94.45,93.36,93.36,92.28,92.28,92.28"
