provino,group,restart_frame,frame_used,bed_temp_C,bed_temp_std_C,polygon_pts
Rec-022_10s_1,other,2711,2710,68.711,1.303,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-024_90s_1,other,4721,4720,65.416,2.467,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-025_30s_1,other,3081,3080,67.051,1.965,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-026_60s_2,other,3893,3892,64.007,2.429,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-028_30s_2,other,3170,3169,64.356,1.958,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-029_10s_2,other,2618,2617,70.217,1.174,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-030_90s_2,other,4693,4692,63.943,2.541,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-031_30s_3,other,3219,3218,65.816,1.854,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-032_30s_4,other,3221,3220,65.72,1.782,"[[291, 333], [318, 333], [320, 331], [293, 331]]"
Rec-G3_S60_1,g3,1705,1704,65.442,1.96,"[[317, 318], [347, 318], [349, 316], [319, 316]]"
