specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-022_10s_1,1,pre,2789,294,330,0.9853,,,,
Rec-022_10s_1,1,pre,2790,291,330,0.984,-3.0,0.0,180.0,3.0
Rec-022_10s_1,1,pre,2791,290,331,0.986,-1.0,1.0,-135.0,1.41
Rec-022_10s_1,1,pre,2792,290,331,0.9886,0.0,0.0,0.0,0.0
Rec-022_10s_1,1,pre,2793,290,331,0.9885,0.0,0.0,0.0,0.0
Rec-022_10s_1,1,core,2794,290,331,0.9846,0.0,0.0,0.0,0.0
Rec-022_10s_1,1,core,2795,296,331,0.9835,6.0,0.0,0.0,6.0
Rec-022_10s_1,1,core,2796,300,331,0.9839,4.0,0.0,0.0,4.0
Rec-022_10s_1,1,core,2797,309,331,0.9852,9.0,0.0,0.0,9.0
Rec-022_10s_1,1,core,2798,314,331,0.987,5.0,0.0,0.0,5.0
Rec-022_10s_1,1,core,2799,323,331,0.9886,9.0,0.0,0.0,9.0
Rec-022_10s_1,1,core,2800,327,331,0.9866,4.0,0.0,0.0,4.0
Rec-022_10s_1,1,core,2801,332,331,0.9906,5.0,0.0,0.0,5.0
Rec-022_10s_1,1,core,2802,336,331,0.9875,4.0,0.0,0.0,4.0
Rec-022_10s_1,1,core,2803,345,331,0.9863,9.0,0.0,0.0,9.0
Rec-022_10s_1,1,core,2804,350,331,0.9894,5.0,0.0,0.0,5.0
Rec-022_10s_1,1,core,2805,354,331,0.9869,4.0,0.0,0.0,4.0
Rec-022_10s_1,1,core,2806,355,330,0.986,1.0,-1.0,45.0,1.41
Rec-022_10s_1,1,post,2807,355,330,0.9898,0.0,0.0,0.0,0.0
Rec-022_10s_1,1,post,2808,355,330,0.9911,0.0,0.0,0.0,0.0
Rec-022_10s_1,1,post,2809,342,330,0.9908,-13.0,0.0,180.0,13.0
Rec-022_10s_1,1,post,2810,341,330,0.9953,-1.0,0.0,180.0,1.0
Rec-022_10s_1,1,post,2811,341,330,0.9949,0.0,0.0,0.0,0.0
Rec-022_10s_1,2,pre,2937,291,330,0.985,,,,
Rec-022_10s_1,2,pre,2938,290,331,0.9868,-1.0,1.0,-135.0,1.41
Rec-022_10s_1,2,pre,2939,290,331,0.9892,0.0,0.0,0.0,0.0
Rec-022_10s_1,2,pre,2940,290,331,0.9891,0.0,0.0,0.0,0.0
Rec-022_10s_1,2,pre,2941,290,331,0.9849,0.0,0.0,0.0,0.0
Rec-022_10s_1,2,core,2942,291,332,0.9831,1.0,1.0,-45.0,1.41
Rec-022_10s_1,2,core,2943,300,331,0.9848,9.0,-1.0,6.34,9.06
Rec-022_10s_1,2,core,2944,304,331,0.9823,4.0,0.0,0.0,4.0
Rec-022_10s_1,2,core,2945,309,331,0.987,5.0,0.0,0.0,5.0
Rec-022_10s_1,2,core,2946,323,331,0.9868,14.0,0.0,0.0,14.0
Rec-022_10s_1,2,core,2947,327,331,0.9894,4.0,0.0,0.0,4.0
Rec-022_10s_1,2,core,2948,332,331,0.9881,5.0,0.0,0.0,5.0
Rec-022_10s_1,2,core,2949,336,331,0.9902,4.0,0.0,0.0,4.0
