specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-027_std_2,1,pre,1120,296,330,0.9887,,,,
Rec-027_std_2,1,pre,1121,292,330,0.9887,-4.0,0.0,180.0,4.0
Rec-027_std_2,1,pre,1122,290,330,0.9835,-2.0,0.0,180.0,2.0
Rec-027_std_2,1,pre,1123,290,331,0.9878,0.0,1.0,-90.0,1.0
Rec-027_std_2,1,pre,1124,290,331,0.9876,0.0,0.0,0.0,0.0
Rec-027_std_2,1,core,1125,290,331,0.984,0.0,0.0,0.0,0.0
Rec-027_std_2,1,core,1126,293,331,0.9832,3.0,0.0,0.0,3.0
Rec-027_std_2,1,core,1127,297,331,0.9817,4.0,0.0,0.0,4.0
Rec-027_std_2,1,core,1128,302,331,0.9845,5.0,0.0,0.0,5.0
Rec-027_std_2,1,core,1129,306,331,0.9825,4.0,0.0,0.0,4.0
Rec-027_std_2,1,core,1130,311,331,0.9854,5.0,0.0,0.0,5.0
Rec-027_std_2,1,core,1131,315,331,0.9827,4.0,0.0,0.0,4.0
Rec-027_std_2,1,core,1132,320,331,0.9855,5.0,0.0,0.0,5.0
Rec-027_std_2,1,core,1133,324,331,0.9823,4.0,0.0,0.0,4.0
Rec-027_std_2,1,core,1134,329,331,0.9854,5.0,0.0,0.0,5.0
Rec-027_std_2,1,core,1135,334,331,0.9821,5.0,0.0,0.0,5.0
Rec-027_std_2,1,core,1136,338,331,0.985,4.0,0.0,0.0,4.0
Rec-027_std_2,1,core,1137,343,331,0.9822,5.0,0.0,0.0,5.0
Rec-027_std_2,1,core,1138,347,331,0.984,4.0,0.0,0.0,4.0
Rec-027_std_2,1,core,1139,355,331,0.9817,8.0,0.0,0.0,8.0
Rec-027_std_2,1,post,1140,355,330,0.9893,0.0,-1.0,90.0,1.0
Rec-027_std_2,1,post,1141,351,330,0.9793,-4.0,0.0,180.0,4.0
Rec-027_std_2,1,post,1142,340,331,0.9883,-11.0,1.0,-174.81,11.05
Rec-027_std_2,1,post,1143,340,331,0.9871,0.0,0.0,0.0,0.0
Rec-027_std_2,1,post,1144,340,330,0.9858,0.0,-1.0,90.0,1.0
Rec-027_std_2,2,pre,1280,291,330,0.9872,,,,
Rec-027_std_2,2,pre,1281,290,330,0.9837,-1.0,0.0,180.0,1.0
Rec-027_std_2,2,pre,1282,290,331,0.9862,0.0,1.0,-90.0,1.0
Rec-027_std_2,2,pre,1283,290,331,0.9885,0.0,0.0,0.0,0.0
Rec-027_std_2,2,pre,1284,290,331,0.9879,0.0,0.0,0.0,0.0
Rec-027_std_2,2,core,1285,290,331,0.984,0.0,0.0,0.0,0.0
Rec-027_std_2,2,core,1286,294,331,0.981,4.0,0.0,0.0,4.0
Rec-027_std_2,2,core,1287,298,331,0.9844,4.0,0.0,0.0,4.0
Rec-027_std_2,2,core,1288,302,331,0.9814,4.0,0.0,0.0,4.0
Rec-027_std_2,2,core,1289,307,331,0.9855,5.0,0.0,0.0,5.0
Rec-027_std_2,2,core,1290,312,331,0.9829,5.0,0.0,0.0,5.0
Rec-027_std_2,2,core,1291,321,331,0.9842,9.0,0.0,0.0,9.0
Rec-027_std_2,2,core,1292,330,331,0.9848,9.0,0.0,0.0,9.0
Rec-027_std_2,2,core,1293,334,331,0.9862,4.0,0.0,0.0,4.0
Rec-027_std_2,2,core,1294,339,331,0.9851,5.0,0.0,0.0,5.0
Rec-027_std_2,2,core,1295,343,331,0.985,4.0,0.0,0.0,4.0
Rec-027_std_2,2,core,1296,352,331,0.9828,9.0,0.0,0.0,9.0
Rec-027_std_2,2,core,1297,355,331,0.9813,3.0,0.0,0.0,3.0
Rec-027_std_2,2,post,1298,355,330,0.9903,0.0,-1.0,90.0,1.0
Rec-027_std_2,2,post,1299,355,330,0.9901,0.0,0.0,0.0,0.0
Rec-027_std_2,2,post,1300,348,330,0.9715,-7.0,0.0,180.0,7.0
Rec-027_std_2,2,post,1301,341,331,0.99,-7.0,1.0,-171.87,7.07
Rec-027_std_2,2,post,1302,341,331,0.9871,0.0,0.0,0.0,0.0
Rec-027_std_2,3,pre,1445,300,330,0.9876,,,,
Rec-027_std_2,3,pre,1446,291,330,0.9902,-9.0,0.0,180.0,9.0
Rec-027_std_2,3,pre,1447,291,330,0.986,0.0,0.0,0.0,0.0
Rec-027_std_2,3,pre,1448,290,331,0.9877,-1.0,1.0,-135.0,1.41
Rec-027_std_2,3,pre,1449,290,331,0.9891,0.0,0.0,0.0,0.0
Rec-027_std_2,3,core,1450,291,331,0.9837,1.0,0.0,0.0,1.0
Rec-027_std_2,3,core,1451,295,331,0.9828,4.0,0.0,0.0,4.0
Rec-027_std_2,3,core,1452,300,331,0.9848,5.0,0.0,0.0,5.0
Rec-027_std_2,3,core,1453,304,331,0.9841,4.0,0.0,0.0,4.0
Rec-027_std_2,3,core,1454,309,331,0.9859,5.0,0.0,0.0,5.0
Rec-027_std_2,3,core,1455,318,331,0.9864,9.0,0.0,0.0,9.0
Rec-027_std_2,3,core,1456,322,331,0.9836,4.0,0.0,0.0,4.0
Rec-027_std_2,3,core,1457,327,331,0.9862,5.0,0.0,0.0,5.0
Rec-027_std_2,3,core,1458,331,331,0.9832,4.0,0.0,0.0,4.0
Rec-027_std_2,3,core,1459,336,331,0.9863,5.0,0.0,0.0,5.0
Rec-027_std_2,3,core,1460,341,331,0.9828,5.0,0.0,0.0,5.0
Rec-027_std_2,3,core,1461,345,331,0.9854,4.0,0.0,0.0,4.0
Rec-027_std_2,3,core,1462,350,331,0.9809,5.0,0.0,0.0,5.0
Rec-027_std_2,3,core,1463,354,331,0.9831,4.0,0.0,0.0,4.0
Rec-027_std_2,3,post,1464,355,330,0.9867,1.0,-1.0,45.0,1.41
Rec-027_std_2,3,post,1465,355,330,0.9908,0.0,0.0,0.0,0.0
Rec-027_std_2,3,post,1466,355,330,0.9915,0.0,0.0,0.0,0.0
Rec-027_std_2,3,post,1467,343,331,0.9815,-12.0,1.0,-175.24,12.04
Rec-027_std_2,3,post,1468,341,331,0.9894,-2.0,0.0,180.0,2.0
Rec-027_std_2,4,pre,1607,298,330,0.991,,,,
Rec-027_std_2,4,pre,1608,291,330,0.9886,-7.0,0.0,180.0,7.0
Rec-027_std_2,4,pre,1609,290,330,0.9848,-1.0,0.0,180.0,1.0
Rec-027_std_2,4,pre,1610,290,331,0.9859,0.0,1.0,-90.0,1.0
Rec-027_std_2,4,pre,1611,290,331,0.9885,0.0,0.0,0.0,0.0
Rec-027_std_2,4,core,1612,290,331,0.9849,0.0,0.0,0.0,0.0
Rec-027_std_2,4,core,1613,293,331,0.9841,3.0,0.0,0.0,3.0
Rec-027_std_2,4,core,1614,298,331,0.9824,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1615,302,331,0.9854,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1616,307,331,0.9826,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1617,311,331,0.9865,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1618,316,331,0.9841,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1619,320,331,0.9864,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1620,325,331,0.984,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1621,329,331,0.9865,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1622,338,331,0.9862,9.0,0.0,0.0,9.0
Rec-027_std_2,4,core,1623,343,331,0.9849,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1624,347,331,0.9847,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1625,355,331,0.9831,8.0,0.0,0.0,8.0
Rec-027_std_2,4,post,1626,355,330,0.9906,0.0,-1.0,90.0,1.0
Rec-027_std_2,4,post,1627,355,330,0.9907,0.0,0.0,0.0,0.0
Rec-027_std_2,4,post,1628,352,330,0.9882,-3.0,0.0,180.0,3.0
