specimen,pause_group,n_layers,fit_success,T1,T2,T3,T4,T5,T6,t1_s,t2_s,t3_s,t4_s,t5_s,t6_s,T0_roi,A_roi,alpha_roi,T_inf_roi,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,roi_std_mean
Rec-022_10s_1,10s,6,True,90.5385,94.3807,95.9243,97.2104,97.3944,98.0037,29.1667,78.5,123.5,167.6667,213.0,259.0,86.8795,11.4142,0.013358,98.2937,0.152467,5.4279,4.5446,0.011535,4.7869
Rec-024_90s_1,90s,6,True,84.1933,91.7517,93.8086,95.5839,96.3629,97.9063,28.6667,76.0,124.5,170.3333,214.5,260.6667,78.3405,19.6411,0.013697,97.9816,0.269017,7.0582,6.1248,0.00785,4.9903
Rec-025_30s_1,30s,6,True,85.7714,92.4411,94.8595,96.3274,98.106,98.5662,27.1667,77.1667,123.0,165.6667,210.8333,253.0,80.7197,18.7617,0.011747,99.4814,0.220385,3.3894,2.578,0.005917,4.9336
Rec-026_60s_2,60s,6,True,82.4298,89.3373,93.1296,94.829,95.9893,96.9316,28.6667,73.8333,121.3333,166.3333,212.6667,260.5,75.4709,21.9059,0.013417,97.3768,0.293904,3.292,2.6585,0.004304,4.647
Rec-028_30s_2,30s,6,True,84.9343,90.7445,93.5914,94.916,95.9592,96.1555,29.6667,77.6667,124.8333,171.0,217.5,263.8333,78.8497,17.7686,0.014191,96.6183,0.252162,5.2684,4.611,0.006363,4.6228
Rec-029_10s_2,10s,6,True,90.1005,93.6887,96.4439,97.3108,98.4892,98.2636,30.1667,78.1667,123.3333,171.1667,217.6667,261.8333,85.8617,13.4325,0.011845,99.2941,0.159106,5.3287,4.2699,0.008391,4.2919
Rec-030_90s_2,90s,6,True,82.2554,89.5903,93.0997,95.0192,95.783,96.817,26.6667,74.3333,120.6667,165.3333,214.3333,259.1667,75.7272,21.4682,0.013772,97.1954,0.295665,4.7277,4.1107,0.004919,4.8025
Rec-031_30s_3,30s,6,True,85.3697,90.681,94.6171,95.4187,96.3742,97.6047,27.6667,76.5,123.3333,170.0,217.5,266.5,80.2666,17.9169,0.011711,98.1836,0.209832,3.7773,3.0976,0.004553,4.6629
Rec-032_30s_4,30s,6,True,85.3717,91.4038,94.3304,95.5412,96.5407,97.4364,26.0,72.0,118.8333,166.5,212.6667,259.0,80.2919,17.356,0.013755,97.6479,0.238723,3.7698,3.2235,0.005287,4.5443
Rec-G3_S60_1,60s,6,True,81.8709,88.4047,92.3028,94.2637,95.8112,96.3615,34.3333,92.0,148.5,204.1667,260.5,316.3333,75.813,21.6823,0.009519,97.4953,0.206402,6.6605,5.2108,0.007078,3.6503
