specimen,pause_group,pixel_row,pixel_col,pixel_flat,T1,T2,T3,T4,T5,T6,delta_T1,delta_T2,delta_T3,delta_T4,delta_T5,delta_T6,T_mean_across_layers,T_std_across_layers
Rec-022_10s_1,10s,0,0,0,105.7927,108.1136,110.7657,112.2786,113.1964,111.8921,0.0,2.3209,4.973,6.4859,7.4037,6.0994,110.3398,2.8335
Rec-022_10s_1,10s,0,1,1,100.1682,103.03,105.1071,106.3079,107.2745,106.5021,0.0,2.8618,4.9389,6.1397,7.1063,6.3339,104.7316,2.6813
Rec-022_10s_1,10s,0,2,2,96.3227,99.4291,101.5021,102.355,103.1782,102.5871,0.0,3.1064,5.1794,6.0323,6.8555,6.2644,100.8957,2.5935
Rec-022_10s_1,10s,0,3,3,93.6073,97.0609,99.1386,99.9121,100.6136,100.2993,0.0,3.4536,5.5313,6.3048,7.0063,6.692,98.4386,2.6868
Rec-022_10s_1,10s,0,4,4,91.8309,95.3355,97.7421,98.1686,99.1336,98.5557,0.0,3.5046,5.9112,6.3377,7.3027,6.7248,96.7944,2.7614
Rec-022_10s_1,10s,0,5,5,94.5455,98.0982,99.9514,101.1529,101.7973,101.8886,0.0,3.5527,5.4059,6.6074,7.2518,7.3431,99.5723,2.8425
Rec-022_10s_1,10s,0,6,6,92.2764,95.7782,97.6636,98.9064,99.43,99.485,0.0,3.5018,5.3872,6.63,7.1536,7.2086,97.2566,2.813
Rec-022_10s_1,10s,0,7,7,90.4982,94.3491,96.0364,96.9264,97.6545,97.6636,0.0,3.8509,5.5382,6.4282,7.1563,7.1654,95.5214,2.7563
Rec-022_10s_1,10s,0,8,8,89.1664,92.9173,94.8736,95.7657,96.2727,96.5786,0.0,3.7509,5.7072,6.5993,7.1063,7.4122,94.2624,2.822
Rec-022_10s_1,10s,0,9,9,87.8845,91.7327,94.3707,94.99,95.73,95.3386,0.0,3.8482,6.4862,7.1055,7.8455,7.4541,93.3411,3.0278
Rec-024_90s_1,90s,0,0,0,98.9969,108.3477,109.101,109.5264,109.6422,113.4008,0.0,9.3508,10.1041,10.5295,10.6453,14.4039,108.1692,4.8252
Rec-024_90s_1,90s,0,1,1,94.1123,102.6277,104.159,104.5257,104.6378,107.8054,0.0,8.5154,10.0467,10.4134,10.5255,13.6931,102.978,4.6599
Rec-024_90s_1,90s,0,2,2,90.7292,98.83,100.146,100.9586,101.4389,103.7985,0.0,8.1008,9.4168,10.2294,10.7097,13.0693,99.3169,4.5157
Rec-024_90s_1,90s,0,3,3,88.5608,96.3677,97.649,98.595,99.2689,101.3331,0.0,7.8069,9.0882,10.0342,10.7081,12.7723,96.9624,4.4385
Rec-024_90s_1,90s,0,4,4,87.14,94.8223,96.075,97.0436,98.0056,99.8746,0.0,7.6823,8.935,9.9036,10.8656,12.7346,95.4935,4.438
Rec-024_90s_1,90s,0,5,5,88.4762,96.1592,97.486,99.4471,99.6922,102.1685,0.0,7.683,9.0098,10.9709,11.216,13.6923,97.2382,4.7583
Rec-024_90s_1,90s,0,6,6,86.0546,93.5285,95.532,97.1593,97.6444,99.5808,0.0,7.4739,9.4774,11.1047,11.5898,13.5262,94.9166,4.7972
Rec-024_90s_1,90s,0,7,7,84.3023,91.8169,93.85,95.5707,96.1978,97.7038,0.0,7.5146,9.5477,11.2684,11.8955,13.4015,93.2403,4.8246
Rec-024_90s_1,90s,0,8,8,83.09,90.6469,92.493,94.68,95.2311,96.6592,0.0,7.5569,9.403,11.59,12.1411,13.5692,92.1334,4.913
Rec-024_90s_1,90s,0,9,9,82.4623,89.8954,92.059,93.6721,94.5678,95.9492,0.0,7.4331,9.5967,11.2098,12.1055,13.4869,91.4343,4.8676
Rec-025_30s_1,30s,0,0,0,100.851,107.3367,108.4208,111.4508,113.0662,114.4782,0.0,6.4857,7.5698,10.5998,12.2152,13.6272,109.2673,4.9322
Rec-025_30s_1,30s,0,1,1,95.533,102.27,103.4008,105.8867,107.7646,108.5091,0.0,6.737,7.8678,10.3537,12.2316,12.9761,103.894,4.7548
Rec-025_30s_1,30s,0,2,2,91.733,98.925,100.0075,101.9992,103.6292,104.7082,0.0,7.192,8.2745,10.2662,11.8962,12.9752,100.167,4.6619
Rec-025_30s_1,30s,0,3,3,89.128,96.4817,97.9758,99.0592,100.8331,102.0445,0.0,7.3537,8.8478,9.9312,11.7051,12.9165,97.5871,4.5935
Rec-025_30s_1,30s,0,4,4,87.825,95.4417,96.4808,97.0233,99.4562,100.3164,0.0,7.6167,8.6558,9.1983,11.6312,12.4914,96.0906,4.4486
Rec-025_30s_1,30s,0,5,5,90.157,96.3458,98.5175,100.5075,102.5446,103.1791,0.0,6.1888,8.3605,10.3505,12.3876,13.0221,98.5419,4.8274
Rec-025_30s_1,30s,0,6,6,87.716,94.2208,96.21,98.11,99.9985,100.5145,0.0,6.5048,8.494,10.394,12.2825,12.7985,96.1283,4.7446
Rec-025_30s_1,30s,0,7,7,85.599,92.5483,94.7183,96.3917,97.9546,98.8382,0.0,6.9493,9.1193,10.7927,12.3556,13.2392,94.3417,4.8429
Rec-025_30s_1,30s,0,8,8,84.513,91.3258,93.5442,94.8083,96.8262,97.4564,0.0,6.8128,9.0312,10.2953,12.3132,12.9434,93.079,4.751
Rec-025_30s_1,30s,0,9,9,83.917,90.9192,92.7275,93.5433,95.9077,96.7155,0.0,7.0022,8.8105,9.6263,11.9907,12.7985,92.2884,4.6135
Rec-026_60s_2,60s,0,0,0,96.9627,102.7538,106.442,108.3915,109.4879,110.5791,0.0,5.7911,9.4793,11.4288,12.5252,13.6164,105.7695,5.1174
Rec-026_60s_2,60s,0,1,1,91.9309,98.4131,101.718,103.9215,104.7964,105.9427,0.0,6.4822,9.7871,11.9906,12.8655,14.0118,101.1204,5.2297
Rec-026_60s_2,60s,0,2,2,88.5755,95.3246,98.517,100.4162,101.3064,102.5382,0.0,6.7491,9.9415,11.8407,12.7309,13.9627,97.7797,5.1637
Rec-026_60s_2,60s,0,3,3,86.3545,93.2785,96.293,98.2454,98.9814,100.12,0.0,6.924,9.9385,11.8909,12.6269,13.7655,95.5455,5.1028
Rec-026_60s_2,60s,0,4,4,85.12,92.0677,94.283,96.91,97.315,98.4436,0.0,6.9477,9.163,11.79,12.195,13.3236,94.0232,4.937
Rec-026_60s_2,60s,0,5,5,86.4045,92.8592,96.617,98.1631,99.835,100.6627,0.0,6.4547,10.2125,11.7586,13.4305,14.2582,95.7569,5.3496
Rec-026_60s_2,60s,0,6,6,84.0836,90.7308,94.611,96.2831,97.5864,98.59,0.0,6.6472,10.5274,12.1995,13.5028,14.5064,93.6475,5.4368
Rec-026_60s_2,60s,0,7,7,82.2591,89.2692,92.928,94.6962,96.0371,96.8655,0.0,7.0101,10.6689,12.4371,13.778,14.6064,92.0092,5.4853
Rec-026_60s_2,60s,0,8,8,81.2718,88.3931,91.679,93.7392,94.9107,95.7782,0.0,7.1213,10.4072,12.4674,13.6389,14.5064,90.962,5.4317
Rec-026_60s_2,60s,0,9,9,80.7273,87.6823,90.539,92.9854,94.0986,95.0373,0.0,6.955,9.8117,12.2581,13.3713,14.31,90.1783,5.3393
