specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6
Rec-022_10s_1,10,2.5,6,86.87952715229667,11.414211658909064,0.013357677785726527,98.29373881120574,253.46950224958704,0.15246736151779033,0.10327048508168685,0.05343002447938418,0.02929091336226852,0.016237335345607316,0.008861935388900975,0.0047937452909605095,7.4651823076923165,5.427912473168948,4.544556673466264,0.011535330536456478,True,5.195670430200759,1.3381280764341597,68.711,1.303,86.87952715229667,90.53851,94.3807,95.92429285714287,97.21043076923077,97.39438181818183,98.00369230769232
Rec-024_90s_1,90,1.75,6,78.34045040503918,19.641120262336354,0.013696619402737895,97.98157066737554,288.654277204658,0.26901694887662453,0.1816602095704956,0.0949956698452313,0.048888650281202706,0.026096039155727408,0.014251319838994808,0.007572492399942553,13.71300769230767,7.058185254034729,6.124753144981891,0.007849604541420408,True,5.492355729140521,1.2231586623723365,65.416,2.467,78.34045040503918,84.19325384615385,91.75169230769232,93.80855999999999,95.58393846153847,96.36285000000001,97.90626153846152
Rec-025_30s_1,30,1.75,6,80.71967506849377,18.761688515370256,0.011746550401339461,99.48136358386402,319.5993565159651,0.22038511976002845,0.16017419488841653,0.0890265305159929,0.051963983880815634,0.03148038679487025,0.018519276896988637,0.011285280982966028,12.794800909090895,3.389362741580679,2.5779609129316152,0.00591744620096088,True,5.253819674153845,1.2497822771671083,67.051,1.965,80.71967506849377,85.77139000000001,92.441125,94.85950000000001,96.32736363636364,98.106025,98.5661909090909
Rec-026_60s_2,60,2.0,6,75.47092290643326,21.905879553702242,0.013416666431452173,97.37680246013551,301.27201724285914,0.2939038788595914,0.20006487058030548,0.10914263080919086,0.05770615907455506,0.031551272515239356,0.016945037929939198,0.008919243787691829,14.50175181818183,3.292037549358248,2.658542152155619,0.004304225730784205,True,4.884396006214647,1.2666216345162653,64.007,2.429,75.47092290643326,82.42981818181818,89.33730833333334,93.12962222222222,94.82898461538463,95.98926153846153,96.93157000000001
Rec-028_30s_2,30,1.75,6,78.84972733067355,17.76857790498567,0.014191484489607904,96.61830523565922,274.02961995279617,0.2521624977409938,0.16551464364533325,0.08375270064078366,0.04288419736213764,0.022271990648589948,0.01151241289595775,0.005964868763155363,11.221210897435924,5.268401195863112,4.6110409104304875,0.006362665545107214,True,4.91830995184223,1.1982939916799582,64.356,1.958,78.84972733067355,84.93433076923075,90.74446923076923,93.59145,94.91596153846152,95.95918,96.15554166666668
Rec-029_10s_2,10,2.5,6,85.86165093836325,13.43246876106471,0.011844889519838833,99.29411969942797,289.43999113840357,0.1591061084534979,0.11130236362264175,0.06303535740456125,0.03691808801162029,0.020949631825679042,0.012077373092006035,0.007157669380459629,8.163048333333322,5.3286526916302694,4.269897174587698,0.008390557871679999,True,4.634172785095537,1.0012906320680364,70.217,1.174,85.86165093836325,90.10054166666667,93.68868333333334,96.44387777777777,97.31076666666665,98.4892111111111,98.26359
Rec-030_90s_2,90,1.75,6,75.7271852788689,21.468174178778487,0.013772241936691269,97.19535945764738,293.9274584461643,0.29566488872916574,0.20478627930246004,0.10621762225838899,0.05611348473647374,0.030332386814361356,0.01544640296660229,0.008330476396893601,14.561607051282067,4.727696672509488,4.11069162736361,0.004919215230684803,True,5.112368293246262,1.1620041438492141,63.943,2.541,75.7271852788689,82.25538461538461,89.59033636363637,93.09969090909091,95.01915555555554,95.78304444444444,96.81699166666668
Rec-031_30s_3,30,1.75,6,80.26663763752458,17.916947698542096,0.011711357096110974,98.18358533606667,316.36978409279027,0.20983177256997015,0.15175872340931149,0.08566011449658713,0.0494966711668376,0.028656360352086255,0.016429622545221796,0.00925560635692861,12.235077272727253,3.777279743910309,3.0976239916307855,0.004552587948543654,True,4.904375516470844,1.3085145031854868,65.816,1.854,80.26663763752458,85.36967272727273,90.680975,94.61713333333334,95.41869230769233,96.37415833333334,97.60474999999998
Rec-032_30s_4,30,2.0,6,80.29188277101773,17.35601352696064,0.013754502099274542,97.64789629797836,278.75372040505147,0.23872332449161748,0.16694896863112024,0.08867527413325364,0.046563264297286244,0.02417165446885476,0.012809423745113799,0.006772628032284079,12.064632323232317,3.7698048430030124,3.2235275319171883,0.0052871904913367835,True,4.795475399283194,1.2776560591190027,65.72,1.782,80.29188277101773,85.37174545454546,91.40376923076923,94.3303875,95.54119166666668,96.5407,97.43637777777778
Rec-G3_S60_1,60,2.0,6,75.81296922418773,21.68229291904922,0.009519361364636346,97.49526214323694,387.4878727567362,0.20640158151032537,0.14885791927179115,0.08597378725117065,0.050209212876008415,0.029556019163957732,0.01728830152681992,0.010160751279551686,14.4906,6.660535578102252,5.210762137355482,0.0070776443241633335,True,4.615614245783582,1.002898672772898,65.442,1.96,75.81296922418773,81.87092307692306,88.40474615384616,92.30275000000002,94.26374999999999,95.81120714285714,96.36152307692306
