peso_totale_kg,specimen,result
0.5,Rec-022_10s_1,ok
1.25,Rec-022_10s_1,ok
1.75,Rec-022_10s_1,ok
2.0,Rec-022_10s_1,ok
2.5,Rec-022_10s_1,ROTTO
0.5,Rec-029_10s_2,ok
1.25,Rec-029_10s_2,ok
1.75,Rec-029_10s_2,ok
2.0,Rec-029_10s_2,ok
2.5,Rec-029_10s_2,ROTTO
0.5,Rec-025_30s_1,ok
1.25,Rec-025_30s_1,ok
1.75,Rec-025_30s_1,ROTTO
0.5,Rec-028_30s_2,ok
1.25,Rec-028_30s_2,ok
1.75,Rec-028_30s_2,ROTTO
0.5,Rec-031_30s_3,ok
1.25,Rec-031_30s_3,ok
1.75,Rec-031_30s_3,ROTTO
0.5,Rec-032_30s_4,ok
1.25,Rec-032_30s_4,ok
1.75,Rec-032_30s_4,ok
2.0,Rec-032_30s_4,ROTTO
0.5,Rec-G3_S60_1,ok
1.25,Rec-G3_S60_1,ok
1.75,Rec-G3_S60_1,ok
2.0,Rec-G3_S60_1,ROTTO
0.5,Rec-026_60s_2,ok
1.25,Rec-026_60s_2,ok
1.75,Rec-026_60s_2,ok
2.0,Rec-026_60s_2,ROTTO
0.5,Rec-024_90s_1,ok
1.25,Rec-024_90s_1,ok
1.75,Rec-024_90s_1,ROTTO
0.5,Rec-030_90s_2,ok
1.25,Rec-030_90s_2,ok
1.75,Rec-030_90s_2,ROTTO
0.5,Rec-G3_std_1,ok
1.25,Rec-G3_std_1,ok
1.75,Rec-G3_std_1,ok
2.0,Rec-G3_std_1,ok
2.5,Rec-G3_std_1,ok
3.25,Rec-G3_std_1,ROTTO
0.5,Rec-027_std_2,ok
1.25,Rec-027_std_2,ok
1.75,Rec-027_std_2,ok
2.0,Rec-027_std_2,ok
2.5,Rec-027_std_2,ROTTO
